ari,41,ari,alpha
ari,alpha,ari,beta
ari,beta,ari,gamma1
umi,alpha,umi,delta
umi,delta,umi,epsilon
umi,epsilon,umi,zeta
umi,zeta,umi,eta
umi,eta,umi,gamma
umi,gamma,umi,beta
umi,beta,umi,zeta
uma,eta,uma,zeta
uma,zeta,uma,epsilon
uma,epsilon,uma,delta
uma,delta,uma,alpha
uma,alpha,uma,23
uma,23,uma,omicron
uma,omicron,uma,upsilon
uma,23,uma,upsilon
uma,upsilon,uma,theta
uma,theta,uma,iota
uma,theta,uma,kappa
uma,upsilon,uma,beta
uma,beta,uma,alpha
uma,beta,uma,gamma
uma,gamma,uma,delta
uma,gamma,uma,chi
uma,chi,uma,psi
uma,psi,uma,mu
uma,psi,uma,lambda
uma,chi,uma,nu
uma,nu,uma,xi
dra,lambda,dra,kappa
dra,kappa,dra,alpha
dra,alpha,dra,iota
dra,iota,dra,eta
dra,eta,dra,zeta
dra,zeta,dra,omega
dra,omega,dra,phi
dra,phi,dra,pi
dra,pi,dra,xi
dra,xi,dra,nu1
dra,nu1,dra,beta
dra,beta,dra,gamma
dra,gamma,dra,xi
cas,epsilon,cas,delta
cas,delta,cas,gamma
cas,gamma,cas,alpha
cas,alpha,cas,beta
cep,alpha,cep,beta
cep,beta,cep,gamma
cep,gamma,cep,iota
cep,iota,cep,beta
cep,iota,cep,delta
cep,delta,cep,zeta
cep,zeta,cep,epsilon
cep,epsilon,cep,mu
cep,mu,cep,alpha
cep,alpha,cep,eta
cep,eta,cep,theta
cam,gamma,cam,alpha
cam,alpha,cam,beta
cam,beta,cam,7
cam,alpha,cam,2209
cam,2209,cam,2527
lyn,alpha,lyn,38
lyn,38,lyn,31
lyn,31,lyn,27
lyn,27,lyn,21
lyn,21,lyn,12
lyn,12,lyn,15
her,alpha,her,beta
her,beta,her,gamma
her,gamma,her,omega
her,beta,her,zeta
her,zeta,her,epsilon
her,epsilon,her,delta
her,delta,her,alpha
her,zeta,her,eta
her,eta,her,sigma
her,sigma,her,tau
her,tau,her,phi
her,phi,her,chi
her,epsilon,her,pi
her,pi,her,rho
her,rho,her,theta
her,theta,her,iota
her,eta,her,pi
her,delta,her,lambda
her,lambda,her,mu
her,mu,her,xi
her,xi,her,omicron
lyr,alpha,lyr,epsilon1
lyr,epsilon1,lyr,zeta1
lyr,zeta1,lyr,beta
lyr,beta,lyr,gamma
lyr,gamma,lyr,delta1
lyr,delta1,lyr,zeta1
lyr,zeta1,lyr,alpha
cyg,alpha,cyg,gamma
cyg,gamma,cyg,eta
cyg,eta,cyg,phi
cyg,phi,cyg,beta1
cyg,epsilon,cyg,gamma
cyg,gamma,cyg,delta
lac,1,lac,6
lac,6,lac,2
lac,2,lac,5
lac,5,lac,11
lac,11,lac,6
lac,5,lac,alpha
lac,alpha,lac,beta
lac,beta,lac,4
lac,4,lac,5
and,alpha,and,delta
and,delta,and,beta
and,beta,and,gamma
and,delta,and,epsilon
and,epsilon,and,zeta
and,zeta,and,eta
and,delta,and,pi
and,pi,and,sigma
and,sigma,and,iota
and,iota,and,omicron
and,iota,and,kappa
and,kappa,and,lambda
and,beta,and,mu
and,mu,and,nu
and,nu,and,phi
and,phi,and,51
tri,alpha,tri,beta
tri,beta,tri,gamma
tri,gamma,tri,alpha
per,omicron,per,zeta
per,zeta,per,xi
per,xi,per,epsilon
per,epsilon,per,beta
per,beta,per,rho
per,beta,per,kappa
per,kappa,per,iota
per,iota,per,alpha
per,alpha,per,delta
per,delta,per,epsilon
per,theta,per,iota
per,psi,per,48
per,48,per,mu
per,mu,per,lambda
per,iota,per,tau
per,tau,per,eta
per,eta,per,gamma
per,gamma,per,alpha
per,tau,per,gamma
aur,alpha,aur,beta
aur,beta,aur,theta
aur,theta,aur,elnath
aur,elnath,aur,iota
aur,iota,aur,alpha
aur,alpha,aur,epsilon
aur,epsilon,aur,zeta
cvn,alpha1,cvn,beta
com,alpha,com,beta
com,beta,com,gamma
crb,iota,crb,epsilon
crb,epsilon,crb,delta
crb,delta,crb,gamma
crb,gamma,crb,alpha
crb,alpha,crb,beta
crb,beta,crb,theta
boo,gamma,boo,rho
boo,rho,boo,alpha
boo,alpha,boo,epsilon
boo,epsilon,boo,delta
boo,delta,boo,beta
boo,beta,boo,gamma
boo,gamma,boo,lambda
boo,lambda,boo,kappa1
boo,kappa1,boo,theta
boo,theta,boo,lambda
boo,tau,boo,eta
boo,eta,boo,alpha
boo,alpha,boo,zeta
ser,beta,ser,gamma
ser,gamma,ser,kappa
ser,kappa,ser,iota
ser,iota,ser,beta
ser,beta,ser,delta
ser,delta,ser,alpha
ser,alpha,ser,epsilon
ser,epsilon,ser,omega
ser,omega,ser,mu
ser,xi,ser,eta
ser,eta,ser,theta1
oph,alpha,oph,kappa
oph,kappa,oph,lambda
oph,lambda,oph,delta
oph,delta,oph,epsilon
oph,epsilon,oph,upsilon
oph,upsilon,oph,zeta
oph,zeta,oph,kappa
oph,zeta,oph,phi
oph,phi,oph,chi
oph,chi,oph,psi
oph,psi,oph,rho
oph,zeta,oph,eta
oph,eta,oph,beta
oph,beta,oph,alpha
oph,beta,oph,gamma
oph,gamma,oph,nu
oph,eta,oph,theta
ari,41,ari,alpha
ari,alpha,ari,beta
ari,beta,ari,gamma1